"TIMESTAMP","PAYLOAD"
"2016-05-20 09:48:09.65","00,1F,9A,00,1F,8E,FF,CF,FF,D6,00,0D"
"2016-05-20 09:48:09.66","00,20,64,00,1F,A8,FF,D8,FF,D9,00,0E"
"2016-05-20 09:48:09.67","00,1F,70,00,1F,4E,FF,E6,FF,E1,00,13"
"2016-05-20 09:48:09.68","00,1F,28,00,1F,64,FF,E6,FF,E1,00,13"
"2016-05-20 09:48:09.69","00,1F,A8,00,1F,86,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.70","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.71","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.72","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.73","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.74","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.75","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.76","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.77","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.78","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.79","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.80","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.81","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.82","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.83","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.84","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.85","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.86","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.87","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.88","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.89","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.90","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.91","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.92","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.93","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.94","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.95","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.96","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.97","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.98","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:09.99","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.00","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.01","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.02","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.03","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.04","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.05","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.06","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.07","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.08","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.09","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.10","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.11","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.12","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.13","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.14","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.15","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.16","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.17","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.18","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
